source_file,activity_type,start_time,sport,total_timer_time,total_distance,total_calories,total_ascent,altitude_min,altitude_max,enhanced_avg_speed,avg_heart_rate,max_heart_rate,num_laps,avg_cadence,avg_flow,avg_fractional_cadence,avg_running_cadence,avg_speed,avg_stance_time,avg_stance_time_balance,avg_stance_time_percent,avg_step_length,avg_temperature,avg_vertical_oscillation,avg_vertical_ratio,end_position_lat,end_position_long,enhanced_avg_respiration_rate,enhanced_max_respiration_rate,enhanced_max_speed,enhanced_min_respiration_rate,event,event_type,first_lap_index,max_cadence,max_fractional_cadence,max_running_cadence,max_speed,max_temperature,message_index,metabolic_calories,min_temperature,nec_lat,nec_long,sport_profile_name,start_position_lat,start_position_long,sub_sport,swc_lat,swc_long,timestamp,total_anaerobic_training_effect,total_cycles,total_descent,total_elapsed_time,total_fractional_ascent,total_fractional_descent,total_grit,total_strides,total_training_effect,training_load_peak,trigger,workout_feel,workout_rpe
2026-03-08-14-11_Running.fit,Running,2026-03-08T13:11:29.000Z,running,2022.856,5006.65,333,5,13.0,20.0,2.475,157,168,6,80,,0.2890625,80,65.535,287.7,50.66,38.77,926.3,23,96.6,10.2,472606319,-3699013,35.47,40.63,2.93,20.08,lap,stop,0,84,0.5,84,65.535,26,0,41,21,472606604,-3691892,Run,472606604,-3702398,generic,472355933,-3796544,2026-03-08T13:49:31.000Z,0.0,2682,9,2022.856,0.19,0.71,,2682,3.8,123.53421020507812,activity_end,50,20
2026-03-22-09-08_Running.fit,Running,2026-03-22T08:08:14.000Z,running,5036.767,8873.04,708,387,284.8,574.6,1.762,150,174,1,60,,0.8125,60,65.535,,,,,24,,,473673737,-6312391,,,3.667,,lap,stop,0,125,0.0,125,65.535,28,0,101,18,473926569,-6022859,Trail Run,473673273,-6318100,trail,473670134,-6339343,2026-03-22T09:32:56.000Z,0.7,5308,385,5036.767,0.5,0.75,,5308,4.2,162.8367156982422,activity_end,75,30
